Read Date,Usage,Number of Days,Usage per day,Charge,Read Type,Average Temperature
5/6/2024,896,31,28.9,$231.65 ,Normal Read,54.2
4/5/2024,941,29,32.45,$242.07 ,Normal Read,44.2
3/7/2024,1140,31,36.77,$288.26 ,Normal Read,37.1
2/5/2024,1205,31,38.87,$303.33 ,Normal Read,33.4
1/5/2024,997,31,32.16,$255.08 ,Normal Read,38.3
12/5/2023,934,33,28.3,$240.46 ,Normal Read,41.7
11/2/2023,544,29,18.76,$149.98 ,Normal Read,55.3
10/4/2023,467,28,16.68,$132.10 ,Normal Read,65
9/6/2023,402,30,13.4,$115.74 ,Normal Read,72.2
8/7/2023,440,32,13.75,$124.10 ,Normal Read,75.6
7/6/2023,482,29,16.62,$125.09 ,Normal Read,70.5
6/7/2023,565,33,17.12,$139.92 ,Normal Read,61.4
5/5/2023,571,31,18.42,$161.13 ,Normal Read,54.1
4/4/2023,708,29,24.41,$194.12 ,Normal Read,41.8
3/6/2023,925,31,29.84,$246.00 ,Normal Read,36.7
2/3/2023,763,25,30.52,$269.42 ,Normal Read,36.6
1/9/2023,1225,34,36.03,$323.78 ,Normal Read,35.3
12/6/2022,931,33,28.21,$225.94 ,Normal Read,44.4
11/3/2022,678,29,23.38,$170.99 ,Normal Read,53.9
10/5/2022,509,28,18.18,$134.29 ,Normal Read,62.7
9/7/2022,75,6,12.5,$21.04 ,Normal Read,69.1
